CN_Code,Description
02071110,"0207 11 10 --- presentati spennati, senza intestini, con la testa e le zampe, detti polli 83 %"
02071130,"0207 11 30 --- presentati spennati, svuotati, senza la testa e le zampe, con il collo, il cuore, il fegato, il ventriglio, detti polli 70 %"
02071190,"0207 11 90 --- presentati spennati, svuotati, senza la testa e le zampe, senza il collo, il cuore, il fegato e il ventriglio, detti polli 65 %, o altrimenti presentati"
02071200,"0207 12 -- interi, congelati"
02071210,"0207 12 10 --- presentati spennati, svuotati, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, detti polli 70 %"
02071290,"0207 12 90 --- presentati spennati, svuotati, senza la testa e le zampe e senza il collo, il cuore, il fegato e il ventriglio, detti polli 65 %, o altrimenti presentati"
02071300,"0207 13 -- Pezzi e frattaglie, freschi o refrigerati"
02071310,0207 13 10 ---- disossati
02071320,0207 13 20 ----- Metà o quarti
02071330,"0207 13 30 ----- Ali intere, anche senza punta"
02071340,"0207 13 40 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02071350,0207 13 50 ----- Petti e loro pezzi
02071360,0207 13 60 ----- Cosce e loro pezzi
02071370,0207 13 70 ----- altri
02071391,0207 13 91 ---- Fegati
02071399,0207 13 99 ---- altri
02071400,"0207 14 -- Pezzi e frattaglie, congelati"
02071410,0207 14 10 ---- disossati
02071420,0207 14 20 ----- Metà o quarti
02071430,"0207 14 30 ----- Ali intere, anche senza punta"
02071440,"0207 14 40 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02071450,0207 14 50 ----- Petti e loro pezzi
02071460,0207 14 60 ----- Cosce e loro pezzi
02071470,0207 14 70 ----- altri
02071491,0207 14 91 ---- Fegati
02071499,0207 14 99 ---- altri
02072400,"0207 24 -- interi, freschi o refrigerati"
02072410,"0207 24 10 --- presentati spennati, svuotati, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, detti tacchini 80 %"
02072490,"0207 24 90 --- presentati spennati, svuotati, senza la testa, il collo e le zampe e senza il cuore, il fegato e il ventriglio, detti tacchini 73 %, o altrimenti presentati"
02072500,"0207 25 -- interi, congelati"
02072510,"0207 25 10 --- presentati spennati, svuotati, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, detti tacchini 80 %"
02072590,"0207 25 90 --- presentati spennati, svuotati, senza la testa, il collo e le zampe e senza il cuore, il fegato e il ventriglio, detti tacchini 73 %, o altrimenti presentati"
02072600,"0207 26 -- Pezzi e frattaglie, freschi o refrigerati"
02072610,0207 26 10 ---- disossati
02072620,0207 26 20 ----- Metà o quarti
02072630,"0207 26 30 ----- Ali intere, anche senza punta"
02072640,"0207 26 40 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02072650,0207 26 50 ----- Petti e loro pezzi
02072660,0207 26 60 ------ Fusi (coscette) e loro pezzi
02072670,0207 26 70 ------ altri
02072680,0207 26 80 ----- altri
02072691,0207 26 91 ---- Fegati
02072699,0207 26 99 ---- altri
02072700,"0207 27 -- Pezzi e frattaglie, congelati"
02072710,0207 27 10 ---- disossati
02072720,0207 27 20 ----- Metà o quarti
02072730,"0207 27 30 ----- Ali intere, anche senza punta"
02072740,"0207 27 40 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02072750,0207 27 50 ----- Petti e loro pezzi
02072760,0207 27 60 ------ Fusi (coscette) e loro pezzi
02072770,0207 27 70 ------ altri
02072780,0207 27 80 ----- altri
02072791,0207 27 91 ---- Fegati
02072799,0207 27 99 ---- altri
02074100,"0207 41 -- interi, freschi o refrigerati"
02074120,"0207 41 20 --- presentate spennate, dissanguate, senza intestini ma non svuotate, con la testa e le zampe, dette anatre 85 %"
02074130,"0207 41 30 --- presentate spennate, svuotate, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, dette anatre 70 %"
02074180,"0207 41 80 --- presentate spennate, svuotate, senza la testa e le zampe e senza il collo, il cuore, il fegato e il ventriglio, dette anatre 63 %, o altrimenti presentate"
02074200,"0207 42 -- interi, congelati"
02074230,"0207 42 30 --- presentate spennate, svuotate, senza la testa e le zampe, con il collo, il cuore, il fegato e il ventriglio, dette anatre 70 %"
02074280,"0207 42 80 --- presentate spennate, svuotate, senza la testa e le zampe e senza il collo, il cuore, il fegato e il ventriglio, dette anatre 63 %, o altrimenti presentate"
02074300,"0207 43 00 -- Fegati grassi, freschi o refrigerati"
02074400,"0207 44 -- altri, freschi o refrigerati"
02074410,0207 44 10 ---- disossati
02074421,0207 44 21 ----- Metà o quarti
02074431,"0207 44 31 ----- Ali intere, anche senza punta"
02074441,"0207 44 41 ----- Dorsi, colli, dorsi con colli attaccati, codrioni, punte di ali"
02074451,0207 44 51 ----- Petti e loro pezzi
