Installation ID,Permit ID,Operator,Installation name,Address,Allocations,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Allocation total (per installation) ,Unnamed: 11,Lat,Lon
IT-546,IT-A-807,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI PORTO EMPEDOCLE,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",327820.0,196692.0,98346.0,65564.0,32782.0,721204.0,,41.919087,12.4988884
IT-547,IT-A-808,Raffineria di Gela S.P.A.,Raffineria di Gela S.P.A.,"C.da Piana del Signore, C.P.35 - 93012 - GELA (CL)",2938704.0,2938704.0,2938704.0,2938704.0,2938704.0,14693520.0,,37.0664363,14.2502445
IT-549,IT-A-810,Laterlite S.p.A.,Laterlite S.p.A. - Unità produttiva Enna,"Via Vittorio Veneto, 30 - 43040 - SOLIGNANO (PR)",37736.0,37736.0,37736.0,37736.0,37736.0,188680.0,,44.526119,10.920986
IT-550,IT-A-811,Snam Rete Gas S.p.A,Centrale di compressione gas di Enna,"S. Barbara, 7 - 20097 - SAN DONATO MILANESE (MI)",26295.0,26295.0,26295.0,26295.0,26295.0,131475.0,,45.4232896,9.2615326
IT-551,IT-A-814,ACCIAIERIE DI SICILIA S.p.A.,ACCIAIERIE DI SICILIA S.p.A.,"STRADALE PASSO CAVALIERE, 1/A - 95100 - CATANIA (CT)",12379.0,12379.0,12379.0,12379.0,12379.0,61895.0,,37.428006,15.0123619
IT-552,IT-A-816,COLACEM SPA,MODICA,"VIA DELLA VITTORINA, 60 - 06024 - GUBBIO (PG)",217854.0,217854.0,217854.0,217854.0,217854.0,1089270.0,,43.3517605,12.5772959
IT-553,IT-A-817,COLACEM SPA,RAGUSA,"VIA DELLA VITTORINA, 60 - 06024 - GUBBIO (PG)",615668.0,615668.0,615668.0,615668.0,615668.0,3078340.0,,43.3517605,12.5772959
IT-554,IT-A-818,Polimeri Europa S.p.A.,Stabilimento Polimeri Europa di Ragusa,"P.zza Boldrini, 1 - 20097 - SAN DONATO MILANESE (MI)",8031.0,8031.0,8031.0,8031.0,8031.0,40155.0,,45.4248439,9.2533194
IT-555,IT-A-819,Buzzi Unicem Spa,Cementeria di Augusta,"Via Luigi Buzzi, 6 - 15033 - CASALE MONFERRATO (AL)",657179.0,657179.0,657179.0,657179.0,657179.0,3285895.0,,45.1287251,8.4517889
IT-556,IT-A-820,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI AUGUSTA,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",429624.0,257774.0,128887.0,85925.0,42962.0,945172.0,,41.919087,12.4988884
IT-557,IT-A-821,LEONE LA FERLA S.P.A.,LEONE LA FERLA S.P.A.,"S.S. 114 BIVIO AUGUSTA VILLASMUNDO, s.n.c. - 96010 - MELILLI (SR)",49329.0,49329.0,49329.0,49329.0,49329.0,246645.0,,37.1782878,15.1266212
IT-558,IT-A-822,ERG RAFFINERIE MEDITERRANEE S.p.A.,RAFFINERIA ISAB IMPIANTI NORD,"EX SS 114 km 146, s.n. - 96010 - PRIOLO GARGALLO (SR)",795692.0,795692.0,795692.0,795692.0,795692.0,3978460.0,,37.1579298,15.1860285
IT-559,IT-A-823,ERG Raffinerie Mediterranee SpA,Raffineria Isab Impianti Sud,"Ex SS 114 km 146, s.n. - 96010 - PRIOLO GARGALLO (SR)",1024193.0,1024193.0,1024193.0,1024193.0,1024193.0,5120965.0,,37.1579298,15.1860285
IT-560,IT-A-824,Polimeri Europa S.p.A.,Stabilimento Polimeri Europa di Priolo,"Via E. Fermi, 4 - 72100 - BRINDISI (BR)",422123.0,422123.0,422123.0,422123.0,422123.0,2110615.0,,40.6303886,17.9646988
IT-561,IT-A-825,ISAB ENERGY,IMPIANTO IGCC,"SP ex SS 114 Km 144, snc - 96010 - PRIOLO GARGALLO (SR)",371272.0,371272.0,371272.0,371272.0,371272.0,1856360.0,,37.1579298,15.1860285
IT-562,IT-A-826,ERG NUOVE CENTRALI SpA,ERG NUOVE CENTRALI - IMPIANTI NORD,"SP ex SS 114 Km 144, snc - 96010 - PRIOLO GARGALLO (SR)",1748226.0,1748226.0,1748226.0,1748226.0,1748226.0,8741130.0,,37.1579298,15.1860285
IT-563,IT-A-827,ERG RAFFINERIE MEDITERRANEE SpA,ERG RAFFINERIE MEDITERRANEE SpA - IMPIANTI SUD,"SP ex SS 114 Km 144, snc - 96010 - PRIOLO GARGALLO (SR)",587543.0,587543.0,587543.0,587543.0,587543.0,2937715.0,,37.1579298,15.1860285
IT-564,IT-A-828,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI PRIOLO GARGALLO,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",1597739.0,1517852.0,1453942.0,1374055.0,1310146.0,7253734.0,,41.919087,12.4988884
IT-565,IT-A-829,Polimeri Europa S.p.A.,Stabilimento Polimeri Europa di Porto Torres,"P.zza Boldrini, 1 - 20097 - SAN DONATO MILANESE (MI)",1107717.0,1107717.0,1107717.0,1107717.0,1107717.0,5538585.0,,45.4248439,9.2533194
IT-566,IT-A-830,Ottana Energia s.r.l.,Ottana Energia s.r.l.,"V.B. MARCELLO PER COMUNICAZIONI S.P. 17 18 KM, 5 - 08020 - MILANO (MI)",698048.0,698048.0,698048.0,698048.0,698048.0,3490240.0,,45.4641943,9.1896346
IT-567,IT-A-831,Buzzi Unicem Spa,Cementeria di Siniscola,"Via Luigi Buzzi, 6 - 15033 - CASALE MONFERRATO (AL)",232891.0,232891.0,232891.0,232891.0,232891.0,1164455.0,,45.1287251,8.4517889
IT-568,IT-A-832,SYNDIAL SPA,SYNDIAL STABILIMENTO DI ASSEMINI,"BOLDRINI, 1 - 20097 - SAN DONATO MILANESE (MI)",43056.0,43056.0,43056.0,43056.0,43056.0,215280.0,,45.4248439,9.2533194
IT-569,IT-A-834,SANAC S.p.A.,SANAC S.p.A. Stabilimento di Assemini,"Viale Cetrtosa, 249 - 20100 - MILANO (MI)",12149.0,12149.0,12149.0,12149.0,12149.0,60745.0,,45.4641943,9.1896346
IT-570,IT-A-835,ENEL PRODUZIONE S.p.A.,CENTRALE TERMOELETTRICA DI ASSEMINI,"Viale Regina Margherita, 125 - 00100 - ROMA (RM)",21482.0,12889.0,6445.0,4296.0,2148.0,47260.0,,41.919087,12.4988884
